"","articulation_name_list"
"1","☀️ Nature is my church 🌲"
"2","CaucasiansᛉAwaken"
"3","/pol/ 4chan"
"4","Jean Romegaire"
"5","Art of Resistance"
"6","Serbon Shop"
"7","WHITE WOMEN'S DISCUSSION CHANNEL ⚡"
"8","𝗖𝗢𝗠𝗨𝗡𝗜𝗗𝗔𝗗 𝗜𝗗𝗘𝗡𝗧𝗜𝗧𝗔𝗦"
"9","Clockwork Crew"
"10","NightNation.Review | Official Announcements"
"11","Proto NDS ❌"
"12","New Right News"
"13","Oakwood's Grove"
"14","WLM_USA_MINNESOTA"
"15","Freyhus Studio"
"16","WLM_USA_INDIANA"
"17","FOLKISH RESISTANCE MOVEMENT"
"18","✙ James A's Rants and Presentations ✙"
"19","FIGHT CLUB"
"20","BOOKS STORE 📚"
"21","Only Users Lose Drugs"
"22","Hoosier Nationalists"
"23","Werra Elbflorenz"
"24","GoTo @NSC131OFFICIAL"
"25","Christian Taliban"
"26","ACTION FACTION"
"27","ᴛʀɪʙᴀʟ ᴀʀʏᴀ ꜱᴏᴄɪᴇᴛʏ"
"28","Nationalist Street Art"
"29","MYSTIC"
"30","Patriot Front Videos"
"31","AntifaWatch"
"32","AntifashGordon Lawsuit"
"33","The Baltic Resistance"
"34","Tasman Forth"
"35","COMITÉ DU 9 MAI 🏴"
"36","Fight the System Shop / Blog"
"37","Britain Expects"
"38","Crow Eater"
"39","Building Autonomy Ⓐ"
"40","WildRoseXIV"
