from,to,references
1220016457,1614541852,1
1418130340,1614541852,1
1215855026,1614541852,1
1445044091,1614541852,1
1610133347,1614541852,1
1455227024,1614541852,4
1605572695,1614541852,3
1473718944,1614541852,1
1496929841,1614541852,1
1178989752,1614541852,1
1451350009,1614541852,2
1291846215,1614541852,1
1528501977,1614541852,1
1619232845,1614541852,2
1780320122,1614541852,1
1391578486,1614541852,1
1589796010,1614541852,1
1605579456,1614541852,8
1647968933,1896687370,1
1884129985,1896687370,2
1369081421,1674708431,7
1887265621,1674708431,4
1694116569,1674708431,4
1681539189,1674708431,7
1910294769,1674708431,9
1700898276,1674708431,2
1787772315,1674708431,1
1795647281,1674708431,17
1141493048,1674708431,5
1892234482,1674708431,1
1646496672,1674708431,7
1796735800,1674708431,4
1805903394,1674708431,3
1151918573,1674708431,1
1784668808,1674708431,27
1303089864,1674708431,9
1564046965,1674708431,3
1543164824,1674708431,56
1617013656,1674708431,3
1471073101,1674708431,1
1451905745,1674708431,1
1811583355,1674708431,8
1303835387,1674708431,7
1325874717,1674708431,1
1252903363,1674708431,1
1521514618,1674708431,1
1678988598,1674708431,1
1795265206,1674708431,11
1155778782,1674708431,2
1426059444,1674708431,1
1743069732,1674708431,2
1667470730,1674708431,1
1203251782,1674708431,1
1768735227,1674708431,1
1739839710,1674708431,1
1841371008,1674708431,7
1140772312,1674708431,2
1322809759,1674708431,1
1458480018,1674708431,5
1451350009,1674708431,30
1412773550,1674708431,1
1831361117,1674708431,4
1896687370,1674708431,5
1179270258,1674708431,1
1172932553,1674708431,1
1692152143,1674708431,1
1531245360,1674708431,6
1277769680,1674708431,7
1548471475,1674708431,4
1624048039,1674708431,1
1737187014,1674708431,1
1358545890,1674708431,1
1570117008,1674708431,4
1247163073,1674708431,1
1267984898,1674708431,2
1829647523,1674708431,7
1879356591,1674708431,1
1435609646,1674708431,1
1479163323,1674708431,6
1444674986,1674708431,3
1780320122,1674708431,1
1653461526,1674708431,1
1753825912,1674708431,4
1220969170,1674708431,1
1496195662,1674708431,10
1580738242,1674708431,4
1377789757,1674708431,1
1770368188,1674708431,9
1840462354,1674708431,10
1492508129,1674708431,1
1546737353,1674708431,2
1884129985,1674708431,44
1258974478,1674708431,1
1304292577,1674708431,1
1418130340,1674708431,3
1692306154,1674708431,1
1744853182,1674708431,2
1434194408,1674708431,1
1606314486,1674708431,1
1308954936,1674708431,4
1730903921,1674708431,1
1893319358,1674708431,13
1689202495,1674708431,1
1517200518,1674708431,1
1347756517,1674708431,2
1653562191,1674708431,1
1161434992,1674708431,1
1527646630,1674708431,2
1496342508,1674708431,1
1206720213,1674708431,1
1628778499,1674708431,1
1908154318,1674708431,1
1902266723,1674708431,2
1882870017,1674708431,11
1642651925,1674708431,3
1289680855,1674708431,6
1641826716,1674708431,7
1383517302,1674708431,2
1461320425,1674708431,1
1480659624,1674708431,1
1319853946,1674708431,2
1811835318,1674708431,1
1278100405,1674708431,2
1213261506,1674708431,1
1232052560,1674708431,4
1799384398,1674708431,3
1445739044,1674708431,1
1381055875,1674708431,35
1242599517,1674708431,1
1819053659,1674708431,2
1531569003,1674708431,1
1774822547,1674708431,1
1540282753,1674708431,2
1781115595,1674708431,1
1668089506,1674708431,1
1484356321,1674708431,1
1851441463,1674708431,2
1851709748,1674708431,1
1179970664,1674708431,1
1121072748,1674708431,1
1503201584,1674708431,1
1540638491,1674708431,15
1226429584,1674708431,1
1293445778,1674708431,1
1299984444,1674708431,26
1408548985,1674708431,1
1197014308,1674708431,1
1178989752,1674708431,5
1630778587,1674708431,6
1708800028,1674708431,1
1158343216,1674708431,1
1759858174,1674708431,43
1405060224,1674708431,4
1374512182,1674708431,1
1282206922,1674708431,1
1499098030,1674708431,2
1749145560,1674708431,1
1482198482,1674708431,1
1325572722,1674708431,9
1155714507,1674708431,2
